MetroArea	Binge	Asthma	HeartAt	Colonosc	Diabetes	PregDaib	PreDia	Disability	Exercise	Coverage	GeneralH	FluShot	Dentist	Teeth	BMI	PSA	Smokers	PAP
CasperWY	6.1	10.0	4.4	61.6	8.2	1.4	0.6	20.6	76.8	81.8	85.6	63.4	68.8	47.3	34.7	51.2	25.6	73.5
CedarRapidsIA	2.8	9.0	5.0	68.3	9.0	0.4	0.3	16.8	74.5	92.3	91.3	66.7	81.1	36.4	41.1	48.8	14.6	81.8
CharlestonWV	2.7	6.9	6.7	61.0	10.1	0.7	2.0	27.5	68.6	84.3	75.8	67.3	62.7	59.4	30.5	53.2	24.1	84.7
CharlestonSC	8.7	5.5	4.9	73.2	11.6	0.9	1.5	19.2	74.6	84.0	84.8	68.9	68.5	41.8	34.7	61.3	21.8	87.6
CharlotteNC	3.4	6.0	3.5	72.1	9.2	0.9	1.2	17.8	77.4	81.2	85.3	69.2	70.8	42.8	37.0	56.3	16.5	84.6
ChattanoogaTN	2.2	5.5	7.2	64.4	8.8	0.4	4.0	22.3	67.8	80.4	79.3	69.3	67.8	52.1	30.9	55.0	16.7	82.0
CheyenneWY	3.4	11.0	5.9	64.8	8.9	0.6	1.0	24.3	76.9	85.9	85.1	71.5	72.5	46.1	33.8	59.2	22.3	86.7
ChicagoIL	6.1	8.9	4.1	60.8	8.8	0.7	0.9	17.2	76.7	85.4	84.3	63.1	70.0	41.5	38.8	52.0	16.8	80.8
CincinnatiOH	6.3	10.9	3.4	65.8	9.9	1.0	1.1	20.3	74.6	86.1	86.0	66.8	71.8	41.6	38.1	55.5	21.9	81.7
ClevelandOH	6.3	8.8	4.1	63.9	10.6	0.4	2.7	19.9	77.3	89.2	85.3	68.4	74.8	45.0	34.4	54.3	20.5	81.2
CoeurdAleneID	6.0	7.4	5.3	66.5	8.4	0.4	1.7	26.3	81.2	82.2	87.5	60.1	69.7	46.4	35.5	41.0	17.4	82.1
ColoradoSpringsCO	3.6	9.1	3.9	65.3	5.9	0.6	1.3	26.8	80.9	85.3	87.4	69.5	69.8	36.4	38.6	46.8	17.9	77.5
ColumbiaSC	5.1	7.5	4.2	66.0	9.4	0.8	1.0	24.0	72.3	80.9	83.6	65.9	64.6	46.5	32.9	64.9	21.8	84.3
ColumbusOH	5.0	10.1	4.0	66.4	9.3	0.6	1.3	22.3	73.7	88.9	84.2	67.7	74.4	39.6	34.5	53.5	20.0	83.0
ConcordNH	5.1	11.6	2.7	76.8	6.5	1.8	0.8	17.2	83.1	88.2	89.0	70.5	80.0	35.8	36.5	48.3	13.2	90.7
DallasTX	4.5	8.4	4.1	60.5	8.1	1.0	1.6	16.3	73.6	78.3	86.9	68.3	59.1	44.3	36.4	65.2	14.6	81.7
DaytonOH	5.5	9.4	4.1	75.9	11.6	1.3	1.9	23.6	74.8	89.1	82.9	67.4	72.7	41.2	35.0	54.2	20.7	82.5
DelRioTX	2.6	5.0	5.3	39.5	13.3	0.7	1.2	17.4	76.5	74.7	77.5	67.9	56.4	44.3	25.8	56.4	10.6	81.9
DeltonaFL	4.2	10.0	5.3	71.8	13.6	1.4	1.0	31.5	76.3	82.1	78.9	74.0	65.6	57.6	34.8	64.3	23.3	78.3
DenverCO	5.1	9.9	2.8	67.9	5.4	0.5	0.9	18.9	83.8	86.9	90.2	76.4	72.4	32.4	43.0	50.5	14.6	81.3
